id,name,category,price,stock_count,ean_barcode,active,created_date
41,Industrialny Ręcznik kąpielowy naturalny L,Bathroom,637.84,242,4929751702819,1,2010-07-23
42,Luksusowy Wieszak na rośliny kremowy M,Balcony,299.43,409,9966365807412,0,2010-07-23
43,Lniany Narzuta na łóżko antracytowy,Bedroom,120.66,352,4648877190651,1,2010-07-31
44,Drewniany Karafka szklana,Dining Room,131.79,414,4760108018104,0,2010-08-07
45,Vintage Szczotka do zamiatania,Garage,134.6,63,9656523413899,1,2010-08-08
46,Ekologiczny Karafka szklana,Dining Room,43.18,5,449646129391,0,2010-08-13
47,Nowoczesny Pojemnik na narzędzia ogrodowe,Balcony,435.13,37,9236534606055,1,2010-08-15
48,Luksusowy Stojak wielofunkcyjny,Storage,488.31,199,2884318848527,0,2010-08-17
49,Minimalistyczny Szczotka do włosów czarny,Bathroom,590.89,207,6205634111595,1,2010-08-18
50,Wielofunkcyjny Wąż ogrodowy,Garden,474.35,130,1390808823512,0,2010-08-30
51,Drewniany Zszywacz biurowy kremowy,Office,27.86,133,1152621815996,1,2010-09-11
52,Ceramiczny Taca do serwowania granatowy,Dining Room,278.0,170,8971480263259,1,2010-09-11
53,Klasyczny Podkładka pod mysz,Office,414.67,172,6464170805317,0,2010-09-12
54,Luksusowy Wieszak na rośliny naturalny,Balcony,374.72,164,1181022031735,0,2010-09-18
55,Vintage Organizer na narzędzia czarny,Garage,193.71,76,4913577908333,1,2010-09-27
56,Elegancki Podkładka pod mysz naturalny XL,Office,161.04,37,7508019630452,0,2010-09-29
57,Premium Wieszak na biżuterię biały S,Bedroom,673.19,426,4395339421043,1,2010-10-01
58,Drewniany Szczotka do zamiatania naturalny XL,Garage,739.85,196,5326909738468,1,2010-10-02
59,Premium Lampion ogrodowy,Garden,633.37,476,2198655049449,1,2010-10-24
60,Kompaktowy Wieszak na narzędzia granatowy,Garage,60.23,125,3349114152081,1,2010-11-03
61,Składany Etykiety samoprzylepne antracytowy L,Storage,291.35,225,1774490581477,1,2010-11-05
62,Lniany Podstawka pod gorące naczynia,Dining Room,687.27,202,3187328077116,0,2010-11-08
63,Klasyczny Wieszak za drzwi brązowy,Storage,534.49,494,1767993593740,1,2010-11-14
64,Stylowy Worek na delikatne pranie naturalny XL,Laundry Room,639.89,268,4434481230834,1,2010-11-17
65,Dekoracyjny Zamek do roweru kremowy,Garage,258.45,373,6335693929067,0,2010-11-25
66,Metalowy Suszarka ścienna czarny,Laundry Room,139.72,174,8562614991539,1,2010-12-01
67,Szklany Aromatyczna świeca szary,Bedroom,620.78,480,1994101372151,0,2010-12-16
68,Bawełniany Organizer na zabawki granatowy S,Nursery,243.56,429,5757574758336,0,2010-12-16
69,Składany Półka na buty,Hallway,110.27,76,7722005436457,1,2010-12-21
70,Rustykały Zestaw noży kuchennych czarny S,Kitchen,871.8,452,3371189547387,0,2010-12-25
71,Szklany Worek na delikatne pranie granatowy,Laundry Room,429.52,123,8573680119239,1,2010-12-26
72,Rustykały Stojak na monitor naturalny,Office,399.24,464,7422438649089,0,2011-01-05
73,Dekoracyjny Deska do krojenia,Kitchen,390.11,178,5782019043227,0,2011-01-06
74,Kompaktowy Dozownik do mydła naturalny,Bathroom,409.14,367,1617688029422,1,2011-01-08
75,Praktyczny Pompka do roweru kremowy,Garage,865.38,317,4200749465399,1,2011-01-08
76,Drewniany Szafka RTV,Living Room,541.42,387,4383034199091,1,2011-01-10
77,Rustykały Naklejki ścienne,Nursery,871.62,422,3745458929752,0,2011-01-12
78,Skandynawski Nożyczki biurowe szary M,Office,153.47,287,4011845826034,1,2011-01-14
79,Ceramiczny Podkładka pod nadgarstek antracytowy S,Office,176.22,484,9233451100901,1,2011-01-16
80,Wielofunkcyjny Ramka na certyfikat,Office,203.01,337,7767199038490,0,2011-02-05
81,Wielofunkcyjny Rękawice ogrodowe beżowy,Garden,512.88,315,2771195296353,0,2011-02-10
82,Bawełniany Naklejki ścienne biały S,Nursery,89.2,56,9721811437441,1,2011-02-15
83,Szklany Kołdra zimowa kremowy,Bedroom,378.84,322,9367632016320,1,2011-02-16
84,Wielofunkcyjny Skrzynka na kwiaty zielony M,Balcony,803.93,313,28772175351,1,2011-02-17
85,Klasyczny Pojemnik na watę,Bathroom,559.62,61,8374550842895,0,2011-02-18
86,Boho Suszarka ścienna biały M,Laundry Room,633.23,486,1876920828326,0,2011-02-20
87,Szklany Zamek do roweru brązowy,Garage,151.67,167,9611110286713,0,2011-02-25
88,Elegancki Skrzynka na kwiaty,Balcony,146.49,191,8955296386395,1,2011-02-27
89,Stylowy Poduszka na krzesło balkonowe czarny M,Balcony,67.88,132,9384308948709,1,2011-03-01
90,Premium Pokrowiec na deskę,Laundry Room,769.56,122,742359142610,1,2011-03-08
91,Wielofunkcyjny Wieszak na obrazki kremowy S,Nursery,581.6,19,9610556613909,1,2011-03-20
92,Wielofunkcyjny Wieszak za drzwi,Storage,268.92,259,3608545667664,1,2011-03-24
93,Bawełniany Doniczka plastikowa beżowy S,Garden,561.4,391,1791100651207,1,2011-03-25
94,Minimalistyczny Worek na śmieci kremowy L,Garage,349.22,159,1559450119293,0,2011-04-25
95,Boho Półka na buty brązowy,Hallway,810.65,231,1331509839303,0,2011-04-28
96,Metalowy Półka na buty antracytowy,Hallway,105.07,124,2579706734994,1,2011-05-01
97,Kompaktowy Pojemnik na narzędzia ogrodowe szary XL,Balcony,98.12,250,9640537735153,1,2011-05-12
98,Rustykały Organizer na zabawki zielony,Nursery,659.36,459,5023290282272,0,2011-05-17
99,Dekoracyjny Podkładka pod mysz zielony M,Office,225.54,293,1307562636890,1,2011-05-26
100,Minimalistyczny Cukiernica,Dining Room,616.54,162,4946519098625,1,2011-05-27
101,Nowoczesny Przedłużacz elektryczny,Garage,635.03,243,1470827235906,1,2011-05-27
102,Boho Pojemnik na narzędzia ogrodowe,Balcony,883.3,122,8179335548647,0,2011-06-04
103,Rustykały Fartuch kuchenny beżowy S,Kitchen,519.94,293,7419267649212,1,2011-06-05
104,Praktyczny Ramka na certyfikat,Office,151.82,69,448207001596,1,2011-06-05
105,Stylowy Wieszak na obrazki,Nursery,49.98,436,2311775331267,1,2011-06-12
106,Vintage Pudełko kartonowe zielony,Storage,775.25,295,5229462093558,1,2011-06-25
107,Drewniany Kołdra zimowa beżowy L,Bedroom,123.43,474,3220414474328,0,2011-06-25
108,Premium Kubek termiczny,Kitchen,49.16,6,2369362689437,0,2011-06-27
109,Praktyczny Lustro łazienkowe,Bathroom,663.47,181,6062953506378,0,2011-07-01
110,Premium Wycieraczka wejściowa szary,Hallway,148.75,67,3959473721325,0,2011-07-04
111,Kompaktowy Kosz wiklinowy,Hallway,327.34,88,650637314959,0,2011-07-06
112,Luksusowy Kosz dekoracyjny naturalny,Living Room,640.57,335,2812356798368,0,2011-07-17
113,Premium Organizer na biurko,Bedroom,441.91,224,8487392855746,0,2011-07-19
114,Ekologiczny Wieszak na narzędzia antracytowy,Garage,326.04,344,8771694722562,1,2011-08-08
115,Lniany Ramka na certyfikat beżowy L,Office,261.61,440,7134936183247,0,2011-08-08
116,Praktyczny Stolik balkonowy brązowy XL,Balcony,715.74,141,1307538418529,0,2011-08-11
117,Praktyczny Suszarka na pranie stojąca czarny,Laundry Room,591.37,16,5643502385036,1,2011-08-21
118,Ceramiczny Zasłony blackout,Bedroom,529.74,130,572025909472,1,2011-08-21
119,Elegancki Kosz wiklinowy z pokrywką brązowy M,Storage,411.36,127,5971072563661,1,2011-08-22
120,Ekologiczny Organizer na klucze,Hallway,731.96,9,4262019712121,1,2011-08-24
121,Lniany Dywanik do przedpokoju,Hallway,215.89,271,7509263223995,0,2011-08-26
122,Minimalistyczny Szczotka do prania granatowy S,Laundry Room,253.25,230,7358662961942,0,2011-08-26
123,Luksusowy Wąż ogrodowy,Garden,50.67,198,1006799006963,0,2011-08-27
124,Rustykały Poduszka dla niemowląt,Nursery,139.92,134,9125652373416,1,2011-08-30
125,Elegancki Korkociąg,Kitchen,852.63,476,476921053362,1,2011-09-16
126,Wielofunkcyjny Skrzynka na kwiaty czarny M,Balcony,660.59,86,4462632514489,0,2011-09-17
127,Składany Wąż ogrodowy kremowy,Garden,641.73,347,8479513711628,1,2011-09-23
128,Boho Aromatyczna świeca,Bedroom,43.58,182,2245933441966,0,2011-09-25
129,Skandynawski Lustro łazienkowe czarny M,Bathroom,778.75,170,6589635957087,1,2011-10-09
130,Metalowy Organizer do szuflady biały,Storage,566.64,98,7379274907289,0,2011-10-14
131,Minimalistyczny Lustro łazienkowe szary M,Bathroom,856.95,349,8946338915628,1,2011-10-15
132,Szklany Kosz dekoracyjny zielony,Living Room,483.45,331,7609873126775,0,2011-10-17
133,Rustykały Pojemnik na śruby,Garage,224.35,250,4926176475014,0,2011-11-08
134,Składany Wanna składana zielony S,Bathroom,686.51,235,2450000001527,0,2011-11-08
135,Nowoczesny Stojak wielofunkcyjny zielony XL,Storage,226.45,356,3410166687002,0,2011-11-09
136,Skandynawski Roślinka sztuczna,Living Room,783.72,340,7660144485649,1,2011-11-12
137,Dekoracyjny Wieszak na płaszcze zielony,Hallway,598.15,291,4549180172269,0,2011-11-14
138,Premium Serwetnik drewniany,Dining Room,806.44,231,3634669254817,0,2011-11-20
139,Lniany Poduszka ortopedyczna czarny,Bedroom,526.48,488,793597820716,1,2011-11-22
140,Rustykały Lustro łazienkowe beżowy XL,Bathroom,796.95,421,1721314519512,1,2011-11-26
141,Stylowy Wieszak za drzwi,Storage,449.92,166,2735454948087,0,2011-12-03
142,Nowoczesny Mobilne nad łóżeczko naturalny,Nursery,84.39,40,8328569146307,0,2011-12-08
143,Bambusowy Stolik kawowy biały,Living Room,131.48,436,7762534929297,0,2011-12-10
144,Industrialny Wieszak na narzędzia biały,Garage,57.37,291,2300716950070,1,2011-12-11
145,Ekologiczny Osłona balkonowa,Balcony,311.84,192,8299629145045,1,2011-12-13
146,Elegancki Półka na buty,Hallway,260.83,485,9678274117673,1,2011-12-13
147,Lniany Łopatka ogrodowa czarny S,Garden,501.06,441,2555989534391,1,2011-12-16
148,Wielofunkcyjny Półka na buty brązowy,Hallway,827.7,43,5810213125125,0,2011-12-17
149,Industrialny Mydelniczka antracytowy XL,Bathroom,38.81,308,5939172513559,0,2011-12-28
150,Lniany Patelnia nieprzywierająca,Kitchen,866.78,461,2595327877476,0,2012-01-08
151,Klasyczny Stojak na monitor zielony,Office,730.64,356,1773180632543,0,2012-01-14
152,Boho Stojak na monitor,Office,747.6,462,8398225871393,1,2012-01-15
153,Praktyczny Wanna składana antracytowy,Bathroom,163.19,428,7454930364689,1,2012-01-16
154,Rustykały Pojemnik tekstylny naturalny,Storage,800.39,211,5766156545271,0,2012-01-18
155,Ceramiczny Pojemnik na pieluchy,Nursery,719.22,300,6599949732034,0,2012-01-19
156,Składany Naklejki ścienne brązowy,Nursery,873.09,335,9759230450185,1,2012-01-29
157,Szklany Organizer na biurko antracytowy,Office,332.42,256,996132730345,1,2012-01-31
158,Szklany Wieszak na obrazki kremowy M,Nursery,572.83,321,6671168457759,0,2012-02-03
159,Rustykały Konewka metalowa,Garden,413.33,134,8714855245784,1,2012-03-01
160,Lniany Mobilne nad łóżeczko szary M,Nursery,691.69,469,8120995765721,1,2012-03-04
161,Nowoczesny Organizer na narzędzia zielony M,Garage,540.54,303,7954538179215,1,2012-03-07
162,Vintage Pudełko kartonowe szary S,Storage,250.89,375,3691430753665,1,2012-03-14
163,Klasyczny Waga kuchenna,Kitchen,441.69,59,1379956353157,0,2012-03-14
164,Bambusowy Stojak na monitor zielony,Office,797.31,476,606853615301,1,2012-03-22
165,Luksusowy Krzesło balkonowe czarny M,Balcony,812.04,94,5012495528933,0,2012-03-22
166,Skandynawski Szufelka,Garage,296.67,75,1249985698478,1,2012-03-23
167,Składany Pojemnik na śruby,Garage,278.13,41,2336132850724,1,2012-03-29
168,Premium Kinkiet ścienny granatowy M,Hallway,222.53,196,3605766270284,1,2012-04-02
169,Bawełniany Poduszka dla niemowląt granatowy,Nursery,233.74,61,3518233749896,1,2012-04-03
170,Składany Wieszak na obrazki,Nursery,626.92,179,4100676267656,1,2012-04-10
171,Klasyczny Organizer pralniany antracytowy,Laundry Room,707.15,270,7313797166983,1,2012-04-16
172,Luksusowy Nawóz do roślin granatowy,Garden,622.57,367,5379538164931,0,2012-04-23
173,Rustykały Lampka stojąca biały,Living Room,740.46,444,6945964883198,0,2012-04-23
174,Bambusowy Chochla zielony,Kitchen,331.01,46,475412126783,1,2012-04-26
175,Rustykały Mata balkonowa,Balcony,715.44,80,6145430796377,0,2012-05-04
176,Luksusowy Mop z wiadrem,Garage,344.73,73,1223552165051,1,2012-05-09
177,Wielofunkcyjny Koc polarowy kremowy,Bedroom,301.99,111,2501736542621,1,2012-05-16
178,Praktyczny Lustro wejściowe brązowy M,Hallway,725.55,293,3214958702078,0,2012-05-17
179,Boho Dziurkacz biały,Office,561.68,180,1562392090858,1,2012-05-27
180,Kompaktowy Stojak wielofunkcyjny,Storage,138.2,12,615727682974,1,2012-06-01
181,Industrialny Kabel zasilający biały M,Garage,187.09,245,4167872568628,0,2012-06-02
182,Luksusowy Taśma klejąca beżowy M,Office,726.68,14,6235466226549,0,2012-06-07
183,Szklany Organizer do szuflady biały,Storage,257.95,35,4586850142948,0,2012-06-07
184,Boho Skrzynka na kwiaty,Balcony,220.74,273,6003044361995,1,2012-06-15
185,Kompaktowy Dywan do salonu,Living Room,779.26,194,6843356708602,1,2012-06-20
186,Dekoracyjny Dywanik do pokoju dziecięcego granatowy XL,Nursery,659.01,280,5700272063455,0,2012-06-26
187,Bambusowy Wieszak na obrazki szary,Nursery,629.49,71,7790104328980,1,2012-06-29
188,Premium Ręcznik do rąk,Bathroom,18.24,290,9154788728746,0,2012-07-11
189,Bawełniany Ramka na certyfikat,Office,724.07,81,2261896288745,0,2012-07-17
190,Premium Lampa solarna biały,Balcony,537.05,199,334191825532,1,2012-07-22
191,Nowoczesny Wycieraczka wejściowa antracytowy L,Hallway,510.47,335,7550375899752,1,2012-07-23
192,Wielofunkcyjny Dywanik łazienkowy,Bathroom,569.15,133,8629857973637,0,2012-07-30
193,Ekologiczny Pojemnik na chleb granatowy,Kitchen,315.77,35,7680866281374,0,2012-08-02
194,Elegancki Lampka nocna,Bedroom,829.59,30,5524728633302,0,2012-08-18
195,Premium Konewka metalowa czarny,Garden,75.47,491,1366572240299,0,2012-08-18
196,Premium Tabliczka korkowa brązowy M,Office,209.99,213,5049627322626,1,2012-08-20
197,Wielofunkcyjny Pojemnik na watę beżowy XL,Bathroom,323.36,316,8217661912845,0,2012-08-24
198,Elegancki Obrus bawełniany biały M,Dining Room,551.23,194,870662668210,1,2012-08-24
199,Drewniany Poduszka dekoracyjna czarny S,Living Room,132.14,335,1534735528960,0,2012-08-28
200,Stylowy Zraszacz,Garden,693.43,350,291617469025,0,2012-09-04
201,Stylowy Stojak na rowery beżowy,Garage,738.37,214,8793741608988,0,2012-09-12
202,Industrialny Mata balkonowa,Balcony,69.75,78,9181331708764,0,2012-09-24
203,Ceramiczny Ramka na certyfikat antracytowy S,Office,818.05,469,936595201495,0,2012-10-06
204,Premium Poduszka dla niemowląt,Nursery,181.55,426,3030705345783,1,2012-10-11
205,Rustykały Zasłony do salonu beżowy L,Living Room,595.0,420,8926256609311,1,2012-10-17
206,Ekologiczny Pokrowiec na deskę granatowy,Laundry Room,810.55,97,4060883561599,1,2012-10-17
207,Metalowy Dywanik do przedpokoju czarny,Hallway,601.01,421,5027275164805,1,2012-10-26
208,Ekologiczny Wieszak na rośliny beżowy,Balcony,110.91,242,1603988636538,1,2012-10-27
209,Metalowy Drążek do zasłony naturalny XL,Bathroom,343.08,306,6309938425300,1,2012-11-01
210,Minimalistyczny Nawóz do roślin,Garden,490.78,408,2102053950245,0,2012-11-04
211,Składany Wieszak na narzędzia antracytowy,Garage,602.8,336,2102027588429,1,2012-11-05
212,Stylowy Przedłużacz elektryczny beżowy S,Garage,122.6,321,203042322776,1,2012-11-07
213,Kompaktowy Talerz głęboki kremowy,Dining Room,399.07,160,1221500141881,1,2012-11-09
214,Stylowy Obrus bawełniany naturalny XL,Dining Room,602.2,394,9592323421088,0,2012-11-09
215,Minimalistyczny Stojak wielofunkcyjny granatowy,Storage,95.9,57,4675361275150,1,2012-11-15
216,Składany Deska do prasowania,Laundry Room,285.26,367,7866912517783,1,2012-11-17
217,Ceramiczny Stojak na gazety brązowy,Living Room,211.5,451,4640882230957,1,2012-11-17
218,Ekologiczny Doniczka balkonowa granatowy XL,Balcony,774.2,71,4461767929885,1,2012-11-26
219,Vintage Szafka RTV,Living Room,338.09,5,2566212867162,0,2012-11-30
220,Drewniany Suszarka na pranie,Bathroom,304.68,341,9787137529888,0,2012-12-06
221,Metalowy Sekator naturalny,Garden,293.52,85,344765047154,0,2012-12-06
222,Lniany Stojak na parasole czarny S,Hallway,391.01,170,200024539313,0,2012-12-10
223,Szklany Dywan do salonu,Living Room,596.69,380,1649133424575,1,2012-12-14
224,Metalowy Mata balkonowa antracytowy M,Balcony,358.65,330,376137918052,1,2012-12-17
225,Klasyczny Koszyk na pieczywo granatowy,Dining Room,457.13,113,2067998136461,0,2012-12-18
226,Bawełniany Organizer do szafy kremowy,Bedroom,103.13,429,7246301986428,1,2012-12-18
227,Wielofunkcyjny Szafka na buty,Hallway,251.05,469,2028471901723,0,2012-12-20
228,Bambusowy Mop z wiadrem,Garage,789.99,7,2164871206027,0,2012-12-20
229,Premium Lampka stojąca czarny,Living Room,19.46,434,2119206136388,1,2012-12-20
230,Boho Regał na książki granatowy,Living Room,126.47,330,4751079911839,1,2012-12-21
231,Nowoczesny Pokrowiec na deskę biały XL,Laundry Room,588.74,458,5721514940976,1,2012-12-28
232,Lniany Przedłużacz elektryczny zielony M,Garage,732.26,55,7722560531345,0,2012-12-31
233,Vintage Organizer na zabawki zielony L,Nursery,110.86,345,7739260302991,0,2013-01-08
234,Kompaktowy Półka ścienna kremowy,Living Room,605.29,408,6272980699015,1,2013-01-16
235,Stylowy Ręcznik kąpielowy szary,Bathroom,749.14,363,9001635640723,0,2013-01-19
236,Drewniany Lustro łazienkowe szary M,Bathroom,145.32,482,9634064686774,1,2013-01-20
237,Luksusowy Magnes na lodówkę czarny S,Office,47.34,53,2135247871255,1,2013-02-02
238,Kompaktowy Pojemnik na przyprawy beżowy M,Kitchen,698.61,91,2071511696660,1,2013-02-08
239,Kompaktowy Wieszak na ręczniki szary XL,Bathroom,288.79,478,5756766708067,0,2013-02-25
240,Industrialny Konewka plastikowa,Garden,665.58,404,4932966851616,0,2013-02-25
241,Minimalistyczny Stolik kawowy granatowy L,Living Room,889.33,176,6258815371479,0,2013-02-28
242,Stylowy Pojemnik na sezonowe ubrania,Storage,304.0,52,4084993231234,1,2013-03-03
243,Praktyczny Etykiety samoprzylepne kremowy L,Storage,776.02,44,2996426033624,0,2013-03-04
244,Dekoracyjny Obrus bawełniany,Dining Room,318.5,210,9741328348313,1,2013-03-08
245,Lniany Mata balkonowa,Balcony,623.88,179,7059640165825,0,2013-03-15
246,Vintage Dywanik do pokoju dziecięcego kremowy,Nursery,886.61,219,3175207167812,0,2013-03-20
247,Klasyczny Osłona balkonowa brązowy S,Balcony,182.49,321,2192855445186,1,2013-03-23
248,Industrialny Deska do prasowania,Laundry Room,166.19,463,7643387220543,0,2013-03-28
249,Dekoracyjny Wieszak na narzędzia brązowy M,Garage,772.05,201,1259047292773,1,2013-04-01
250,Stylowy Doniczka balkonowa naturalny,Balcony,622.78,460,8262925188122,1,2013-04-07
251,Nowoczesny Dywan do sypialni brązowy M,Bedroom,90.43,500,1172400504552,1,2013-04-07
252,Rustykały Kosz na brudne pranie,Laundry Room,24.57,116,7476775372605,0,2013-04-07
253,Premium Kosz wiklinowy z pokrywką antracytowy,Storage,598.21,47,8696561308765,0,2013-04-08
254,Stylowy Pojemnik plastikowy z pokrywką naturalny L,Storage,489.49,165,4494812604222,0,2013-04-13
255,Industrialny Rękawice ogrodowe antracytowy,Garden,276.28,341,9268315893576,0,2013-04-15
256,Bambusowy Dywan do sypialni zielony L,Bedroom,171.41,217,2494514754104,0,2013-04-15
257,Premium Organizer pralniany,Laundry Room,788.4,88,9957047264265,0,2013-04-21
258,Stylowy Stojak na rowery antracytowy,Garage,403.51,109,8721489513431,0,2013-04-22
259,Praktyczny Stojak wielofunkcyjny beżowy,Storage,255.78,482,1726808081575,0,2013-04-28
260,Lniany Grabie ogrodowe szary,Garden,644.63,344,4222946430390,1,2013-04-30
261,Lniany Stojak na gazety zielony L,Living Room,154.89,242,7584466345330,1,2013-05-03
262,Minimalistyczny Kołdra zimowa,Bedroom,346.32,325,5158482669132,1,2013-05-07
263,Bambusowy Szczotka do zamiatania,Garage,654.52,175,7991366210383,1,2013-05-10
264,Rustykały Blok na noże granatowy XL,Kitchen,705.18,378,6069409600352,1,2013-05-17
265,Rustykały Ręcznik kąpielowy,Bathroom,598.11,421,7489690835728,0,2013-05-17
266,Premium Sitko kuchenne czarny,Kitchen,337.12,153,2622189092751,0,2013-05-25
267,Wielofunkcyjny Szafka na buty,Hallway,188.1,18,3397051958266,0,2013-06-01
268,Wielofunkcyjny Poduszka na leżak kremowy,Garden,823.74,189,5609320489967,1,2013-06-02
269,Wielofunkcyjny Kalkulator biurkowy naturalny,Office,106.14,128,7732010170260,1,2013-06-05
270,Drewniany Szufelka,Garage,100.11,105,3688444310694,1,2013-06-12
271,Industrialny Stojak na rowery,Garage,674.24,218,30835669103,1,2013-06-15
272,Premium Latarka ręczna czarny M,Garage,897.56,92,8073741672432,1,2013-06-16
273,Drewniany Grabie ogrodowe,Garden,211.61,70,2141888059297,1,2013-06-17
274,Minimalistyczny Kabel zasilający kremowy L,Garage,761.89,487,5516874090382,0,2013-06-20
275,Wielofunkcyjny Półka na buty kremowy,Hallway,511.11,216,1659266108570,0,2013-06-24
276,Drewniany Stojak na przyprawy,Kitchen,805.93,137,2373334333396,1,2013-07-01
277,Premium Ręcznik kąpielowy antracytowy,Bathroom,737.63,477,4120122759504,0,2013-07-17
278,Luksusowy Pojemnik tekstylny beżowy L,Storage,281.78,392,8714939252363,0,2013-07-17
279,Boho Szafka RTV,Living Room,187.53,310,7167433800546,1,2013-07-23
280,Lniany Pojemnik plastikowy z pokrywką zielony,Storage,669.56,70,1190170756810,1,2013-07-24
281,Boho Suszarka na pranie stojąca zielony XL,Laundry Room,483.89,262,1278686694328,0,2013-08-03
282,Premium Organizer na narzędzia,Garage,274.7,440,2756041776562,0,2013-08-06
283,Praktyczny Parasol ogrodowy brązowy L,Garden,316.47,361,6213721386580,0,2013-08-09
284,Metalowy Etykiety samoprzylepne naturalny XL,Storage,848.91,260,9728454018228,1,2013-08-24
285,Stylowy Kubek na szczoteczki granatowy XL,Bathroom,533.66,17,5150267551250,1,2013-08-26
286,Wielofunkcyjny Szafka RTV granatowy,Living Room,297.28,163,2203684995152,1,2013-09-18
287,Metalowy Nawóz do roślin,Garden,147.2,365,7489791776333,1,2013-09-24
288,Bambusowy Pościel bawełniana granatowy XL,Bedroom,804.62,234,2521752500740,0,2013-10-13
289,Ekologiczny Korkociąg szary M,Kitchen,277.08,201,2135415970995,1,2013-10-16
290,Premium Naklejki ścienne biały,Nursery,30.22,479,8841333731252,1,2013-11-03
291,Ekologiczny Otwieracz do butelek naturalny S,Kitchen,252.98,331,4760440907975,1,2013-11-24
292,Drewniany Listwa LED biały L,Living Room,365.36,292,7561547055494,0,2013-11-28
293,Rustykały Talerz głęboki antracytowy,Dining Room,866.88,239,7402588358680,0,2013-11-30
294,Wielofunkcyjny Poduszka ortopedyczna,Bedroom,525.81,40,4985172444721,0,2013-11-30
295,Ceramiczny Stojak na rowery naturalny M,Garage,82.04,450,5085016579059,1,2013-12-06
296,Elegancki Szufelka szary XL,Garage,397.48,32,4351906698492,0,2013-12-06
297,Vintage Łopatka silikonowa,Kitchen,206.25,306,34324451071,1,2013-12-10
